ticker,name,category,expense_ratio
MOPN,"MOP Environmental Solutions Inc(USD,MOPN)",US Micro,0.0
MOS,The Mosaic Co,US Mid Value,0.0
LHYFX,Lord Abbett High Yield F,High Yield,0.0078
MOV,Movado Group Inc,US Small Value,0.0
MPC,Marathon Petroleum Corp,US Large Value,0.0
MPGFX,Mairs & Power Growth Inv,US Large Blend,0.0066
MPHQX,BlackRock Total Return K,Int-Term Inv. Grade,0.0039
MRAAY,"Murata Manufacturing Co Ltd ADR(USD,MRAAY)",Intl Large Growth,0.0
MRFIX,MFS Research I,US Large Blend,0.0058
AMFAX,Natixis ASG Managed Futures Strategy A,Managed Futures,0.0174
MRK,Merck & Co Inc,US Large Value,0.0
MRO,Marathon Oil Corp,US Mid Blend,0.0
MRTN,Marten Transport Ltd,US Small Blend,0.0
MWLIX,Metropolitan West Low Duration Bd I,Short-Term Inv. Grade,0.0042
MS,Morgan Stanley,US Large Blend,0.0
MSCFX,"Mairs & Power Small Cap(USD,MSCFX)",US Small Blend,0.0104
MSEGX,Morgan Stanley Inst Growth A,US Large Growth,0.0082
MSEX,Middlesex Water Co,US Small Blend,0.0
MSFT,Microsoft Corp,US Large Growth,0.0
MSGN,MSG Networks Inc Class A,US Small Value,0.0
MSI,Motorola Solutions Inc,US Large Value,0.0
AMGN,Amgen Inc,US Large Value,0.0
MSIGX,"Oppenheimer Main Street A(USD,MSIGX)",US Large Growth,0.0102
MT,"ArcelorMittal SA ADR(USD,MT)",Intl Large Value,0.0
MTLQU,MOTORS LIQUIDATION CO GU,US Large Value,0.0
MTOR,"Meritor Inc(USD,MTOR)",US Small Value,0.0
MU,"Micron Technology Inc(USD,MU)",US Large Blend,0.0
MUB,iShares National AMT-Free Muni Bond ETF,Int-Term Inv. Grade,0.0025
MUTHX,Franklin Mutual Shares Z,** 80 US Large Value / 20 Intl Large Value **,0.0078
MVF,"BlackRock MuniVest(USD,MVF)",Int-Term Inv. Grade,0.0192
MWLDX,Metropolitan West Low Duration Bd M,Short-Term Inv. Grade,0.0062
MWTIX,Metropolitan West Total Return Bond I,Int-Term Inv. Grade,0.0044
AMLP,Alerian MLP ETF,MLP,0.0087
MWTRX,Metropolitan West Total Return Bond M,Int-Term Inv. Grade,0.0065
ACI,Albertsons Companies Inc Class A,US Mid Value,0.0
MWTSX,Metropolitan West Total Return Bond Fund,Int-Term Inv. Grade,0.0037
MXIM,Maxim Integrated Products Inc,US Mid Blend,0.0
MXXIX,"Marsico 21st Century(USD,MXXIX)",US Mid Growth,0.0142
myl,"Mylan NV(USD,MYL)",US Mid Growth,0.0
NAC,"Nuveen CA Quality Muni Income(USD,NAC)",Long-Term Inv. Grade,0.0197
NACG,"NAC Global Technologies Inc(USD,NACG)",US Micro,0.0
NAESX,Vanguard Small Cap Index Inv,US Mid Growth,0.00018
NAK,Northern Dynasty Minerals Ltd,Intl Small Blend,0.0
NATI,NTNL INSTRUMENTS,US Mid Blend,0.0
AMN,AMN Healthcare Services Inc,US Small Growth,0.0
SF,Stifel Financial Corp,US Mid Value,0.0
NBGNX,"Neuberger Berman Genesis Inv(USD,NBGNX)",US Small Growth,0.0101
nbix,"Neurocrine Biosciences Inc(USD,NBIX)",US Mid Growth,0.0
NBR,Nabors Industries Ltd,Intl Small Value,0.0
NBRVX,"Neuberger Berman M/C Intrinsic Val Inv(USD,NBRVX)",** .9 US Mid Value / .1 Intl Mid Value **,0.0125
NCAVX,Nuance Concentrated Value Investor,** .15 Cash/Money Market / .75 US Large Blend / .1 Intl Large Blend **,0.0143
NCHAX,"Nuveen CA High Yield Municipal Bond A(USD,NCHAX)",High Yield,0.0105
NEE,"NextEra Energy Inc(USD,NEE)",US Large Blend,0.0
NEM,"Newmont Mining Corp(USD,NEM)",US Large Value,0.0
NEOG,Neogen Corp,US Mid Growth,0.0
NEU,NewMarket Corp,US Small Value,0.0
THG,The Hanover Insurance Group Inc,US Small Value,0.0
AMP,Ameriprise Financial Inc,US Large Value,0.0
NEWFX,American Funds New World A,** 50% Intl Large Growth / 50% Emerging Large Growth **,0.0104
NFFFX,American Funds New World F2,** 50 Emerging Large Growth / 50 Intl Large Growth **,0.0075
NFJ,AllianzGI NFJ Dividend Interest & Premium Strategy Fund,US Buy Write,0.0101
NFLX,Netflix Inc,US Large Growth,0.0
NGD,"New Gold Inc(USD,NGD)",Intl Small Value,0.0
NGG,"National Grid PLC ADR(USD,NGG)",Intl Large Value,0.0
NGLOY,Anglo American PLC ADR,Intl Large Blend,0.0
NGREX,"Northern Global Real Estate Index(USD,NGREX)",** .45 US Real Estate / .55 Intl Real Estate **,0.005
NHI,"National Health Investors Inc(USD,NHI)",US Small Value,0.0
AFCG,AFC Gamma Inc Ordinary Shares,US Real Estate,0.0
NHMRX,"Nuveen High Yield Municipal Bond I(USD,NHMRX)",High Yield,0.0078
AMPFX,"American Funds AMCAP F1(USD,AMPFX)",US Large Growth,0.0074
NI,NISOURCE INC,US Mid Value,0.0
niaux,"American Beacon Numrc IntgrtdAlpha Ultra(USD,NIAUX)",Liquid Alternative,0.0185
NICE,NICE Ltd ADR,Intl Mid Growth,0.0
NIIAX,"Columbia Select International Eq A(USD,NIIAX)",Intl Large Growth,0.014
NKE,Nike Inc B,US Large Growth,0.0
nktr,"Nektar Therapeutics Inc(USD,NKTR)",US Mid Growth,0.0
NLS,Nautilus Inc,US Small Blend,0.0
nlsix,"Neuberger Berman Long Short Instl(USD,NLSIX)",Non-Traditional,0.0132
SYLD,Cambria Shareholder Yield ETF,US Mid Value,0.0059
NLSN,Nielsen Holdings PLC,Intl Mid Blend,0.0
NLTQY,National Aluminium Co Ltd ADR,Commodities,0.0
AMRFX,American Funds American Mutual F2,** 85 US Large Value / 15 Intl Large Value **,0.0042
NLY,Annaly Capital Management Inc,US Real Estate,0.0
NMFC,New Mountain Finance Corp,US Small Value,0.0
NMGRX,"Neuberger Berman Mid Cap Growth R3(USD,NMGRX)",US Mid Growth,0.0137
NML,Neuberger Berman MLP Income Fund Inc,US Mid Value,0.0244
NOBL,S&P 500 Aristocrats ETF,US Large Blend,0.0035
NOC,Northrop Grumman Corp,US Large Blend,0.0
MSB,Mesabi Trust,US Small Blend,0.0
NOK,NOKIA CORP-SPON ADR,Intl Large Blend,0.0
NOSGX,Northern Small Cap Value,US Small Blend,0.0101
NOTEX,Northern Tax-Exempt,Int-Term Inv. Grade,0.0048
NPFFX,"American Funds New Perspective F1(USD,NPFFX)",** 50 US Large Growth / 50 Intl Large Growth **,0.0082
AMRMX,"American Funds American Mutual A(USD,AMRMX)",** .75 US Large Value / .25 Intl Large Value **,0.0057
NPK,"National Presto Industries Inc(USD,NPK)",US Small Blend,0.0
NPSNY,NASPERS LTD            FUNSPONSORED ADR         1 ADR REPS       ORD SHS,Emerging Large Growth,0.0
NRDBY,Nordea Bank Abp ADR,US Large Value,0.0
NRGX,PIMCO ENRG TCTCL CRT OPP,US Small Growth,0.0
NRZ,New Residential Investment Corp,US Real Estate,0.0
BLCN,Siren Nasdaq NexGen Economy ETF,US Large Blend,0.0068
NSBRX,Nuveen Santa Barbara Dividend Growth I,US Large Blend,0.0072
NSC,Norfolk Southern Corp,US Large Blend,0.0
NSRGF,Nestle SA,Intl Large Blend,0.0
NSRGY,"Nestle SA ADR(USD,NSRGY)",Intl Large Blend,0.0
NSVAX,Columbia Small Cap Value II Inst,US Small Value,0.0102
AMSWA,American Software Inc Class A,US Small Blend,0.0
NTES,NetEase Inc ADR,Emerging Large Growth,0.0
NTP,"Nam Tai Property Inc(USD,NTP)",Intl Small Value,0.0
NTR,"Nutrien Ltd(USD,NTR)",Intl Large Blend,0.0
NTRS,NORTHERN TRUST CORP,US Large Blend,0.0
gbt,"Global Blood Therapeutics Inc(USD,GBT)",US Small Blend,0.0
NTTYY,"Nippon Telegraph & Telephone Corp ADR(USD,NTTYY)",Intl Large Value,0.0
NUE,Nucor Corp,US Large Blend,0.0
NUV,"Nuveen Municipal Value(USD,NUV)",Long-Term Inv. Grade,0.0061
nuva,"NuVasive Inc(USD,NUVA)",US Small Growth,0.0
NVDA,NVIDIA Corp,US Large Growth,0.0
NVO,Novo Nordisk A/S ADR,Intl Large Growth,0.0
AMT,American Tower Corp,US Real Estate,0.0
NVR,NVR Inc,US Mid Growth,0.0
nvro,"Nevro Corp(USD,NVRO)",US Small Growth,0.0
NVS,"Novartis AG ADR(USD,NVS)",Intl Large Blend,0.0
